"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ABCD2345","webpage","","Center for History and New Media","Guide rapide pour débuter","","","","","http://zotero.org/support/quick_start_guide","","","2017-05-10 06:59:06","2017-05-10 06:59:06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5W476T3U","webpage","2014","Benyahia-Kouider, Odile","Portables, Wi-Fi, tablettes : les vrais dangers des ondes","L'Obs","","","","http://tempsreel.nouvelobs.com/l-enquete-de-l-obs/20130930.OBS9058/portables-wi-fi-tablettes-les-vrais-dangers-des-ondes.html","Une proposition de loi du groupe écologiste sur l'exposition aux ondes est examinée jeudi. Les spécialistes se divisent sur leurs risques sur la santé. Et si elles n'étaient pas si inoffensives ?","2014-01-23","2017-05-10 07:53:44","2017-05-10 08:01:42","2017-05-10 07:53:44","","","","","","","Portables, Wi-Fi, tablettes","","","","","","","","","","","","","","","","C:\Users\Sylva\AppData\Roaming\Zotero\Zotero\Profiles\swwecdp5.default\zotero\storage\JEFGQ8VG\portables-wi-fi-tablettes-les-vrais-dangers-des-ondes.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8VJ7DVZZ","webpage","2016","Mbengue, Aram","Un rapport pointe le danger des ondes électromagnétiques pour les enfants","RFI","","","","http://www.rfi.fr/science/20160708-droits-enfant-sante-medecine-nouvelles-technologies-ondes-electromagnetiques-teleph","Les ondes &eacute;lectromagn&eacute;tiques &eacute;mises par les t&eacute;l&eacute;phones portables, les tablettes ou autres objets connect&eacute;s sont potentiellement dangereux pour les enfants en bas &acirc;ge, selon le rapport publi&eacute; ce...","2016-07-08","2017-05-10 09:02:41","2017-05-10 09:04:20","2017-05-10 09:02:41","","","","","","","","","","","","","","","","","","","","","","","C:\Users\Sylva\AppData\Roaming\Zotero\Zotero\Profiles\swwecdp5.default\zotero\storage\H6QNZQ3X\20160708-droits-enfant-sante-medecine-nouvelles-technologies-ondes-electromagnetiques-teleph.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5SIBTMBH","newspaperArticle","2016","Hir, Pierre Le","Alerte sur les dangers des radiofréquences pour les enfants","Le Monde.fr","","1950-6244","","http://www.lemonde.fr/sante/article/2016/07/08/alerte-sur-les-dangers-des-radiofrequences-pour-les-enfants_4965884_1651302.html","L’Anses pointe les « effets possibles » des téléphones mobiles et des jouets radiocommandés sur les fonctions cognitives et le bien-être des plus jeunes.","2016-07-08","2017-05-10 09:24:28","2017-05-10 09:24:28","2017-05-10 09:24:28","","","","","","","","","","","","","","fr","","","","","Le Monde","","","","C:\Users\Sylva\AppData\Roaming\Zotero\Zotero\Profiles\swwecdp5.default\zotero\storage\4777ZV36\alerte-sur-les-dangers-des-radiofrequences-pour-les-enfants_4965884_1651302.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2PJEZDVD","newspaperArticle","2017","Hir, Pierre Le","Paris va réduire de 30 % l’exposition aux ondes des antennes-relais","Le Monde.fr","","1950-6244","","http://www.lemonde.fr/planete/article/2017/03/02/paris-va-reduire-de-30-l-exposition-aux-ondes-des-antennes-relais_5088273_3244.html","La capitale veut devenir « la métropole la plus protectrice d’Europe », avec une charte de téléphonie mobile plus contraignante pour les opérateurs.","2017-03-02","2017-05-10 09:24:36","2017-05-10 09:24:36","2017-05-10 09:24:36","","","","","","","","","","","","","","fr","","","","","Le Monde","","","","C:\Users\Sylva\AppData\Roaming\Zotero\Zotero\Profiles\swwecdp5.default\zotero\storage\C96HB6AF\paris-va-reduire-de-30-l-exposition-aux-ondes-des-antennes-relais_5088273_3244.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JDNE5UZ4","webpage","2013","Benyahia-Kouider, Odile","Danger des ondes : un rapport plus alarmiste qu'il n'y paraît","L'Obs","","","","http://tempsreel.nouvelobs.com/societe/20131015.OBS1205/danger-des-ondes-un-rapport-plus-alarmiste-qu-il-n-y-parait.html","Si l'Anses fait preuve d'une grande prudence dans la présentation de son rapport, elle appelle tout de même à beaucoup de précaution avec les ondes.","2013-10-15","2017-05-10 17:41:35","2017-05-10 17:42:57","2017-05-10 17:41:35","","","","","","","Danger des ondes","","","","","","","","","","","","","","","","C:\Users\Sylva\AppData\Roaming\Zotero\Zotero\Profiles\swwecdp5.default\zotero\storage\E9WHVQNF\danger-des-ondes-un-rapport-plus-alarmiste-qu-il-n-y-parait.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KWKCZFVB","webpage","2016","Court, Marielle","Ondes et enfants : les études manquent","","","","","http://sante.lefigaro.fr/actualite/2016/07/08/25183-ondes-enfants-etudes-manquent","L'Agence sanitaire française constate l'absence de consensus scientifique sur l'exposition des plus jeunes.","2016-07-08","2017-05-10 18:44:26","2017-05-10 18:50:19","2017-05-10 18:44:26","","","","","","","Ondes et enfants","","","","","","","","","","","","","","","","C:\Users\Sylva\AppData\Roaming\Zotero\Zotero\Profiles\swwecdp5.default\zotero\storage\8KT6W2K3\25183-ondes-enfants-etudes-manquent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WRKVS9NK","webpage","2014","","Téléphone portable et cancer du cerveau : le risque confirmé","","","","","http://sante.lefigaro.fr/actualite/2014/05/13/22339-telephone-portable-cancer-cerveau-risque-confirme","Des chercheurs de l'université de Bordeaux ont montré un risque de tumeur cérébrale accru pour les gros utilisateurs. Un argument de plus en faveur..","2014-05-13","2017-05-10 18:50:55","2017-05-10 18:50:55","2017-05-10 18:50:55","","","","","","","Téléphone portable et cancer du cerveau","","","","","","","","","","","","","","","","C:\Users\Sylva\AppData\Roaming\Zotero\Zotero\Profiles\swwecdp5.default\zotero\storage\XA3JXRSR\22339-telephone-portable-cancer-cerveau-risque-confirme.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECDXM6RD","journalArticle","1999","MICHEL, ALBERGANTI","Supplément d'enquête sur les risques des téléphones portables","Le Monde","","","","http://nouveau.europresse.com/Link/TELECOMT_1/news·19991013·LM·668928","","1999-10-13","2017-05-15 12:21:18","2017-05-15 12:21:18","","","","","","","","","","","","","","","","","","","","","","","","C:\Users\Sylva\AppData\Roaming\Zotero\Zotero\Profiles\swwecdp5.default\zotero\storage\4P6K9S9D\1.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JAWN3T5F","journalArticle","1996","","Les ondes suspectes du téléphone mobile","Le Monde","","","","http://nouveau.europresse.com/Link/TELECOMT_1/news·19960911·LM·471606","","1996-09-11","2017-05-17 06:59:28","2017-05-17 06:59:28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
